location,year,catch,direct_consumption,fishmeal_and_fish_oil,other_usage
Argentina,1957,122738.7440017924,120910.094296066,1799.1806966006995,29.4690091257
Argentina,1958,126776.25300441137,124488.64077445195,2256.1798649597,31.432364999699992
Argentina,1959,131555.98872246785,129607.76727673804,1909.7678166044,38.45362912539999
Argentina,1960,143979.627236501,142072.36083395398,1866.357888797,40.90851375
Argentina,1961,128295.41505201,126734.431893006,1521.709204502,39.273954502
Argentina,1962,133886.673525355,132751.187245353,1090.890640001,44.59564000100001
Argentina,1963,180433.856470879,178962.58779087698,1412.230590001,59.038090001
Argentina,1964,227623.619101917,225656.39914088292,1886.576105534,80.64385549999999
Argentina,1965,267372.10126755096,265697.696107554,1576.315079996,98.090080001
Argentina,1966,313664.51429985795,312662.0155058539,890.1951469940001,112.30364700999998
Argentina,1967,302544.53164801,300905.70778202696,1530.0761829730002,108.74768301000002
Argentina,1968,424730.70196262206,423123.40872662,1450.332743004,156.96049299799995
Argentina,1969,364182.001409579,362967.316520879,1074.312913066,140.37197563400002
Argentina,1970,305589.621899097,305165.038313198,312.291792956,112.291792943
Argentina,1971,331267.8277697876,330827.72971977794,320.0490250068,120.0490250028
Argentina,1972,342780.392417446,342310.93486915703,334.728774126,134.72877416300005
Argentina,1973,446859.3284720311,445908.9433315061,775.19257028,175.19257024500004
Argentina,1974,454589.4872537081,452532.0640214931,1878.711616096,178.711616119
Argentina,1975,316867.5089247657,316503.1872014279,235.1608616644,129.16086167339998
Argentina,1976,440583.682254368,439756.422084415,643.630084949,183.630085004
Argentina,1977,625019.069271801,623249.6864844,1506.191393743,263.19139365800004
Argentina,1978,939182.053471118,937487.0788492009,1285.987310944,408.987310973
Argentina,1979,1049503.691339453,1048139.204477014,904.743431232,459.7434312069999
Argentina,1980,668444.8943695555,667415.6674244925,751.1134725520001,278.1134725110001
Argentina,1981,600310.0395577102,599250.1308354571,807.954361145,251.95436110800003
Argentina,1982,819134.4825012211,817943.2596707392,848.611415211,342.611415271
Argentina,1983,698549.6365127759,697967.37709982,291.129706478,291.129706478
Argentina,1984,540013.245690956,539566.319388726,223.46315111500004,223.46315111500004
Argentina,1985,693382.0654507346,692652.0855157496,448.98996748799993,280.989967497
Argentina,1986,686887.7340246277,685840.1524310388,751.290796835,296.290796754
Argentina,1987,770756.2818890838,769790.2838804008,623.9990043480001,341.99900433500005
Argentina,1988,853323.535730388,852172.312747061,785.6114916529999,365.611491674
Argentina,1989,776772.0659688291,775364.3242938311,1081.370837496,326.370837502
Argentina,1990,882662.928448664,881625.2413987154,656.3435249493,381.3435249993
Argentina,1991,1039284.5214586556,1038096.167383623,727.6770375282999,460.6770375043
Argentina,1992,1209645.3151863276,1208200.6831032955,900.81604153,543.816041502
Argentina,1993,1465403.4815397784,1463941.8230533188,799.3292432108,662.3292432488
Argentina,1994,1531115.2646952958,1529230.5599564728,1228.852369433,655.8523693899998
Argentina,1995,1803139.382727148,1801278.5204676208,1077.431129746,783.4311297810001
Argentina,1996,1858759.448966148,1856727.2275582592,1229.610703969,802.61070392
Argentina,1997,2016004.178357048,2013385.740003132,1755.719176965,862.719176951
Argentina,1998,1656019.421617502,1654457.940690616,832.7404634467,728.7404634397
Argentina,1999,1530198.637315756,1515631.564927899,13909.926193903,657.1461939540001
Argentina,2000,1282651.2704799226,1281299.064658408,811.6029107582999,540.6029107563
Argentina,2001,1326922.030736445,1325536.8167330988,825.1070016980002,560.1070016480002
Argentina,2002,1310930.9349158022,1309713.6818773828,655.6265192051999,561.6265192141999
Argentina,2003,1258295.823185571,1257066.609398148,690.106893714,539.106893709
Argentina,2004,1315873.0854613783,1314480.2319058534,833.926777772,558.926777753
Argentina,2005,1274832.1286308214,1273409.4710919082,873.3287694329999,549.3287694799999
Argentina,2006,1585321.066217427,1583688.34818272,941.8590173450002,690.8590173620001
Argentina,2007,1462379.2126673472,1460635.0969624592,1112.057852476,632.057852412
Argentina,2008,1595488.1425078327,1593890.0347288095,910.553889526,687.5538894970001
Argentina,2009,1310768.857845852,1309399.7758711318,815.5409873670001,553.5409873530001
Argentina,2010,1223318.3655831248,1222126.009961401,681.1778108643,511.1778108593
Argentina,2011,1124818.9659234467,1123802.9077578632,549.5290827898001,466.5290827938
Argentina,2012,1093928.9153216288,1092603.312440164,866.301440738,459.3014407270001
Argentina,2013,1288043.5698825594,1286646.7674005425,852.9012409890001,543.9012410280002
Argentina,2014,1242849.5761087758,1241319.7452963798,1000.415406204,529.4154061920001
Argentina,2015,1252848.4109497948,1251705.6539573667,612.878496214,529.878496214
Argentina,2016,1167673.1295266051,1166679.823969077,496.652778764,496.652778764
Argentina,2017,1240678.624194205,1239565.113335625,556.7554292899998,556.7554292899998
Argentina,2018,1251180.9310175776,1250053.9386835196,563.4961670291003,563.4961670291003
Australia,1950,69766.45085033542,69721.84908519802,23.1323225687,21.4694425687
Australia,1951,73814.9371577026,73768.809798884,23.9990494093,22.128309409300005
Australia,1952,81566.90771231701,81515.03787313701,26.97421959,24.895619589999995
Australia,1953,87708.50483749842,87652.13456007701,29.3283687107,27.041908710700007
Australia,1954,89995.33086178261,89937.64543357001,30.0898741063,27.5955541063
Australia,1955,92108.27678455,92049.783302492,30.597831029,27.895651029
Australia,1956,96158.43445282598,96090.433689526,39.27665165,28.72411165
Australia,1957,101033.7462495684,100956.536133953,46.9042578097,30.305857805700008
Australia,1958,102881.60743586562,102799.35484812302,52.13992386930001,30.1126638733
Australia,1959,107664.59645033402,107585.17705753002,48.19325640299998,31.226136401
Australia,1960,110857.9988082892,110782.531093115,43.3998475856,32.067867588599995
Australia,1961,111129.1284629102,111053.018991805,43.8584055541,32.2510655511
Australia,1962,119922.6155414614,119841.139508975,46.4168662427,35.0591662437
Australia,1963,131798.51234629762,131712.74066366503,47.6101213163,38.1615613163
Australia,1964,134193.6381767128,134108.598725775,46.94993546890001,38.0895154689
